Rewardlist,ButtonData,Zposition(Inches),Zposition(mm)
0.18328320833742673,0,12.198145246389508,309.8328892582935
0.3146376018524162,0,12.06817185100019,306.53156501540485
0.19455764418244215,0,12.185222295364738,309.50464630226435
0.23570951101481974,0,12.147999878594279,308.55919691629464
0.25073622553944475,0,12.12630753080547,308.0082112824589
0.049578654035926206,0,12.328301679763198,313.13886266598524
0.41048145307898487,0,11.968615613988042,304.0028365952963
0.14460235429406332,0,12.235750165614485,310.7880542066079
0.13666249506175632,0,12.243833169937133,310.9933625164032
0.20959022530913352,0,12.167681155195833,309.05910134197416
0.2919279852658523,0,12.088335362291335,307.0437182021999
0.1517631287723784,0,12.229599620011449,310.6318303482908
0.36277307178080065,0,12.016598552262783,305.2216032274747
0.20674257666766493,0,12.17229113109708,309.1761947298658
0.18482495135963006,0,12.193687802141906,309.71967017440437
0.30354620399177,0,12.077160658681393,306.75988073050735
0.3812974544554937,0,11.99911138483286,304.7774291747546
0.2700396929681297,0,12.110758688697219,307.61327069290934
0.09434434773922007,0,12.28649040685892,312.0768563342166
0.18213922093510604,0,12.198365830627084,309.83849209792794
0.10613973784744779,0,12.271382733225822,311.69312142393585
0.10914813138544588,0,12.271015483936667,311.6837932919913
0,0,12.29827289044261,312.3761314172423
0,0,12.299929618865251,312.41821231917737
0.09641291162669674,0,12.289340402141214,312.14924621438684
0.2266585173517477,0,12.152273111537099,308.6677370330423
0.14454016831219185,0,12.234838495653868,310.76489778960826
0.28744707460999486,0,12.093937967261672,307.18602436844645
0.09520439160168159,0,12.284751546007396,312.03268926858783
0.10031889528035975,0,12.282145601370932,311.9664982748216
0,0,12.247544382402301,311.08762731301846
0.053567943438887156,0,12.326368047723175,313.08974841216866
0.023772644880413196,0,12.355929855519534,313.84061833019615
0.06441177069246784,0,12.315796430805326,312.8212293424553
0.42167727645635544,0,11.957065447846055,303.7094623752898
1,1,11.88818567302227,301.9599160947657
0.14976848407089705,0,12.234980467423798,310.76850387256445
0.3767426246136427,0,12.003017368486525,304.8766411595577
0.44466848994195374,0,11.935966800186039,303.17355672472536
0.46224013644158823,0,11.918463206270337,302.7289654392665
0.13016464661657778,0,12.251645137244463,311.19178648600933
1,1,11.868330744999648,301.45560092299104
1,1,11.881807503259182,301.79791058278323
0.1656834021478879,0,12.21745575374067,310.32337614501296
0.12784733880162236,0,12.252148491701483,311.20457168921763
1,1,11.875881061854958,301.6473789711159
0,0,12.027837788495422,305.5070798277837
0,0,12.108203196838499,307.54836119969787
0,0,12.223931309098006,310.48785525108934
0.16006554401218942,0,12.218592701220512,310.352254611001
0.17110531577468002,0,12.20922608436644,310.11434254290754
0.17354464891254828,0,12.207731274160743,310.0763743636829
0.1621892539590597,0,12.214130563691258,310.2389163177579
0.15850268122255784,0,12.225068256577849,310.51673371707733
0.1573164542853842,0,12.221323017820716,310.4216046526462
0.17939482448995037,0,12.19984186770618,309.87598343973696
0.16210712153017504,0,12.21862672751248,310.35311887881693
0.1427297349154948,0,12.236734581440688,310.81305836859343
1,1,11.871610175552965,301.5388984590453
1,1,11.85450551057756,301.10443996867
1,1,11.88463755209446,301.8697938231993
1,1,11.88054266385436,301.76578366190074
1,1,11.87660734719038,301.6658266186356
1,1,11.868273252299428,301.45414060840545
1,1,11.870027366316318,301.4986951044345
0.20362623765170618,0,12.1771216912359,309.29889095739185
1,1,11.875986660692096,301.6500611815792
1,1,11.876132152423263,301.65375667155087
1,1,11.874864966377617,301.6215701459914
1,1,11.866913373941184,301.4195996981061
1,1,11.891603555384279,302.04673030676065
1,1,11.881437907329202,301.7885228461617
1,1,11.878086904230715,301.70340736746016
